tag,timesteps,episodic_return
baseline,30,30.0
baseline,50,20.0
baseline,70,20.0
baseline,92,22.0
baseline,118,26.0
baseline,152,34.0
baseline,186,34.0
baseline,199,13.0
baseline,248,49.0
baseline,264,16.0
baseline,286,22.0
baseline,321,35.0
baseline,354,33.0
baseline,371,17.0
baseline,404,33.0
baseline,416,12.0
baseline,433,17.0
baseline,449,16.0
baseline,471,22.0
baseline,501,30.0
baseline,521,20.0
baseline,537,16.0
baseline,599,62.0
baseline,609,10.0
baseline,635,26.0
baseline,651,16.0
baseline,665,14.0
baseline,675,10.0
baseline,686,11.0
baseline,704,18.0
baseline,722,18.0
baseline,742,20.0
baseline,782,40.0
baseline,797,15.0
baseline,810,13.0
baseline,841,31.0
baseline,868,27.0
baseline,877,9.0
baseline,894,17.0
baseline,920,26.0
baseline,942,22.0
baseline,956,14.0
baseline,980,24.0
baseline,988,8.0
baseline,1011,23.0
baseline,1029,18.0
baseline,1045,16.0
baseline,1080,35.0
baseline,1089,9.0
baseline,1107,18.0
baseline,1149,42.0
baseline,1174,25.0
baseline,1184,10.0
baseline,1196,12.0
baseline,1207,11.0
baseline,1224,17.0
baseline,1251,27.0
baseline,1296,45.0
baseline,1320,24.0
baseline,1342,22.0
baseline,1371,29.0
baseline,1397,26.0
baseline,1410,13.0
baseline,1425,15.0
baseline,1445,20.0
baseline,1468,23.0
baseline,1488,20.0
baseline,1503,15.0
baseline,1523,20.0
baseline,1534,11.0
baseline,1577,43.0
baseline,1613,36.0
baseline,1651,38.0
baseline,1683,32.0
baseline,1712,29.0
baseline,1724,12.0
baseline,1735,11.0
baseline,1777,42.0
baseline,1791,14.0
baseline,1805,14.0
baseline,1819,14.0
baseline,1892,73.0
baseline,1904,12.0
baseline,1916,12.0
baseline,1931,15.0
baseline,1948,17.0
baseline,1991,43.0
baseline,2014,23.0
baseline,2033,19.0
baseline,2072,39.0
baseline,2083,11.0
baseline,2096,13.0
baseline,2112,16.0
baseline,2122,10.0
baseline,2137,15.0
baseline,2149,12.0
baseline,2159,10.0
baseline,2169,10.0
baseline,2179,10.0
baseline,2188,9.0
baseline,2201,13.0
baseline,2211,10.0
baseline,2221,10.0
baseline,2230,9.0
baseline,2241,11.0
baseline,2250,9.0
baseline,2259,9.0
baseline,2270,11.0
baseline,2281,11.0
baseline,2290,9.0
baseline,2302,12.0
baseline,2317,15.0
baseline,2326,9.0
baseline,2335,9.0
baseline,2348,13.0
baseline,2361,13.0
baseline,2373,12.0
baseline,2385,12.0
baseline,2394,9.0
baseline,2409,15.0
baseline,2425,16.0
baseline,2435,10.0
baseline,2449,14.0
baseline,2460,11.0
baseline,2470,10.0
baseline,2488,18.0
baseline,2497,9.0
baseline,2505,8.0
baseline,2516,11.0
baseline,2531,15.0
baseline,2545,14.0
baseline,2558,13.0
baseline,2570,12.0
baseline,2578,8.0
baseline,2587,9.0
baseline,2598,11.0
baseline,2607,9.0
baseline,2616,9.0
baseline,2625,9.0
baseline,2638,13.0
baseline,2649,11.0
baseline,2660,11.0
baseline,2671,11.0
baseline,2681,10.0
baseline,2691,10.0
baseline,2704,13.0
baseline,2716,12.0
baseline,2727,11.0
baseline,2738,11.0
baseline,2749,11.0
baseline,2760,11.0
baseline,2771,11.0
baseline,2782,11.0
baseline,2792,10.0
baseline,2804,12.0
baseline,2815,11.0
baseline,2826,11.0
baseline,2837,11.0
baseline,2846,9.0
baseline,2856,10.0
baseline,2867,11.0
baseline,2876,9.0
baseline,2889,13.0
baseline,2899,10.0
baseline,2909,10.0
baseline,2917,8.0
baseline,2927,10.0
baseline,2936,9.0
baseline,2947,11.0
baseline,2957,10.0
baseline,2967,10.0
baseline,2976,9.0
baseline,2985,9.0
baseline,2997,12.0
baseline,3012,15.0
baseline,3024,12.0
baseline,3034,10.0
baseline,3047,13.0
baseline,3058,11.0
baseline,3068,10.0
baseline,3077,9.0
baseline,3089,12.0
baseline,3102,13.0
baseline,3110,8.0
baseline,3120,10.0
baseline,3130,10.0
baseline,3139,9.0
baseline,3148,9.0
baseline,3158,10.0
baseline,3167,9.0
baseline,3180,13.0
baseline,3190,10.0
baseline,3200,10.0
baseline,3212,12.0
baseline,3224,12.0
baseline,3235,11.0
baseline,3245,10.0
baseline,3255,10.0
baseline,3263,8.0
baseline,3282,19.0
baseline,3293,11.0
baseline,3303,10.0
baseline,3311,8.0
baseline,3320,9.0
baseline,3336,16.0
baseline,3345,9.0
baseline,3355,10.0
baseline,3365,10.0
baseline,3375,10.0
baseline,3384,9.0
baseline,3394,10.0
baseline,3403,9.0
baseline,3412,9.0
baseline,3421,9.0
baseline,3431,10.0
baseline,3441,10.0
baseline,3451,10.0
baseline,3461,10.0
baseline,3476,15.0
baseline,3491,15.0
baseline,3501,10.0
baseline,3510,9.0
baseline,3519,9.0
baseline,3529,10.0
baseline,3539,10.0
baseline,3547,8.0
baseline,3558,11.0
baseline,3568,10.0
baseline,3576,8.0
baseline,3585,9.0
baseline,3596,11.0
baseline,3605,9.0
baseline,3614,9.0
baseline,3623,9.0
baseline,3635,12.0
baseline,3644,9.0
baseline,3656,12.0
baseline,3666,10.0
baseline,3680,14.0
baseline,3690,10.0
baseline,3699,9.0
baseline,3711,12.0
baseline,3721,10.0
baseline,3730,9.0
baseline,3741,11.0
baseline,3752,11.0
baseline,3763,11.0
baseline,3774,11.0
baseline,3786,12.0
baseline,3798,12.0
